case,flow,speed,dspeed,lspeed,comply,ped,cross,shared,oneway,lanes,mark,trees,bollards,width,cross_y,s_width,bench,obst,lev_segr,vis_segr,pedcross,shpedspace,shped
mke,120,12.23189781,-0.980755178,-7.76810219,0.611594891,540,90,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.166666667,0.538461538,0.818181818
mke,120,12.87753521,-0.335117778,-7.12246479,0.643876761,630,180,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.285714286,0.538461538,0.84
mke,210,13.22435811,0.011705122,-6.77564189,0.661217906,540,90,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.166666667,0.538461538,0.72
mke,120,7.448966725,-5.763686263,-12.55103328,0.372448336,480,180,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.375,0.538461538,0.8
mke,120,14.10931973,0.896666742,-5.89068027,0.705465987,810,360,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.444444444,0.538461538,0.870967742
mke,30,11.4222549,-1.790398088,-8.5777451,0.571112745,510,270,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.529411765,0.538461538,0.944444444
mke,30,0,-13.21265299,-20,1,660,210,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.318181818,0.538461538,0.956521739
mke,60,11.61725389,-1.595399098,-8.38274611,0.580862695,600,180,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.3,0.538461538,0.909090909
mke,30,20.0744898,6.861836812,0.0744898,1.00372449,600,270,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.45,0.538461538,0.952380952
mke,90,26.06026667,12.84761368,6.06026667,1.303013334,600,150,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.25,0.538461538,0.869565217
